"Year","UTLA18CD","UTLA18NM","Pop_Est_Total","Grants_Inside_AEF","Grants_Outside_AEF","Grants_LSSG_ABG","Grants_RSG","Income_Rates","Police_Grant","Central_Gov_Funding_Total","Central_Gov_Funding_Total_PerCap"
2018,"E09000002","Barking and Dagenham",211998,305036.655232327,127545.677240406,0,0,143549.116921065,40657.6243707259,616789.073764524,2.9094098706805
2002,"E09000003","Barnet",320552,78891.4804744579,107634.18980025,NA,128864.588922564,113974.859639531,44145.5901438467,473510.70898065,1.47717284241137
2003,"E09000003","Barnet",321802,173658.759926175,124989.739186244,NA,156745.8294853,99936.3602410986,47102.9261973623,602433.61503618,1.87206299226288
2004,"E09000003","Barnet",323723,167279.35313512,180248.367658855,NA,169738.538933205,96959.9690537663,48914.4798387672,663140.708619713,2.04848190774123
2005,"E09000003","Barnet",327541,170111.936060856,183105.017707121,NA,166199.772249242,117035.218239531,51282.5176506638,687734.461907414,2.09968969352665
2006,"E09000003","Barnet",330801,359610.563683817,197922.105296582,NA,20546.9700647225,106444.039569219,43594.332545564,728118.011159904,2.20107560484976
2007,"E09000003","Barnet",334837,390415.479256897,211819.152364348,NA,18775.5425592577,111876.574513357,44684.7822750532,777571.530968913,2.32223897289999
2008,"E09000003","Barnet",339212,366311.7904663,228002.747966792,14200,17020.5481281044,122265.729491366,45734.7091822608,793535.525234823,2.33934980258606
2009,"E09000003","Barnet",345829,430540.10752493,253885.395171275,14700.7036731325,26656.9265373504,115492.047461824,47182.360503508,888457.540872021,2.56906604383097
2010,"E09000003","Barnet",351438,446987.078865645,270256.940165565,20595.7552513523,18470.5208005463,127202.72710496,48597.3031369492,932110.325325017,2.65227529557139
2011,"E09000003","Barnet",357538,463673.871561833,290329.189974242,635.93269458719,35323.0637325769,114275.824354155,49145.3524877544,953383.234805148,2.66652281661012
2012,"E09000003","Barnet",363777,367570.563335068,282595.535981046,234.277271790154,2724.17058207813,140553.690547878,46041.460144403,839719.697862263,2.30833642001078
2013,"E09000003","Barnet",368301,371724.397662216,264456.992276766,0,86376.8101911527,74890.6023731868,85751.5766919181,883200.379195239,2.39803959043076
2014,"E09000003","Barnet",373745,356779.137709122,259452.794873714,0,73724.606853551,96765.583186426,87694.4174466397,874416.540069452,2.33960732603634
2015,"E09000003","Barnet",378778,369459.847754542,274559.017800536,0,58035.1360435587,95166.8261605897,83642.4798335743,880863.307592801,2.32553978212251
2016,"E09000003","Barnet",384774,307529.49872897,283954.920936791,0,44225.3649054085,92320.3536195649,83565.6323120431,811595.770502777,2.10927913659129
2017,"E09000003","Barnet",387803,310166.413078826,287794.764832797,0,23413,155215.753323881,82705.0336206194,859294.964856123,2.21580277835943
2018,"E09000003","Barnet",392140,322293.862207513,275020.271745823,0,0,188712.705730367,75205.8076997728,861232.647383476,2.19623768904849
2002,"E08000016","Barnsley",218851,46935.9272395617,44504.2667321635,NA,98755.957045848,75702.4576086538,15849.8439576846,281748.452583912,1.28739851581172
2003,"E08000016","Barnsley",220165,61124.5452843359,45506.5163740569,NA,121392.870004019,69194.0085742197,16979.8565923568,314197.796828988,1.42710147765988
2004,"E08000016","Barnsley",221227,64080.6307109259,66726.0982539879,NA,134683.305480821,65969.6174668216,17191.5424667631,348651.19437932,1.57598843893069
2005,"E08000016","Barnsley",222618,56829.3905108925,71052.654133815,NA,133159.018343814,79455.3768222409,17879.6689530061,358376.108763768,1.60982539041663
2006,"E08000016","Barnsley",224419,176548.165953668,72054.8447790065,NA,18013.1514008107,93312.5886428618,16763.6162989853,376692.367075333,1.67852261651345
2007,"E08000016","Barnsley",225989,185607.332395052,76280.7342004717,NA,16549.4092930431,98610.8991654986,17135.8990537316,394184.274107797,1.74426310177839
2008,"E08000016","Barnsley",227754,178247.635400259,77248.5601939415,0,15373.9338157039,110435.141592826,17601.7257253802,398906.996728111,1.75148184764312
2009,"E08000016","Barnsley",228973,189460.708478648,88478.4610255655,20495.9755290421,24399.5966967681,105709.562554812,18042.5926109733,446586.896895808,1.95039108058945
2010,"E08000016","Barnsley",230066,182135.187889901,102947.508721399,23418,16975.376787401,116903.79968204,18476.6228974897,460856.49597823,2.00314907886533
2011,"E08000016","Barnsley",231865,202751.870044389,97960.8900956612,0,31077.5041988979,100543.054777293,19112.6584958383,451445.977612079,1.94702079922403
2012,"E08000016","Barnsley",233762,208191.585284335,100990.194705342,0,2366.43668283074,122094.127953492,17760.2023511109,451402.546977111,1.93103475747603
2013,"E08000016","Barnsley",235811,207997.72812546,82113.7390410152,0,78334.6099004799,54857.7874672438,33844.6725782469,457148.537112446,1.93862261350169
2014,"E08000016","Barnsley",237971,208847.406734412,82358.3755585292,0,65077.8041590293,55343.6290217029,34767.8319237121,446395.047397386,1.87583801134334
2015,"E08000016","Barnsley",239855,194053.540873324,83180.9173285679,127,47288.8389328056,56207.5441035234,33122.6481562128,413980.489394434,1.7259614742008
2016,"E08000016","Barnsley",241847,186041.300711773,82359.2384660747,0,36788.6932842409,57269.7432029294,32979.4934319225,395438.469096941,1.63507700776499
2017,"E08000016","Barnsley",243341,185936.309128096,75456.3715525191,0,27081.0215308103,57473.6575221842,32557.1151441212,378504.474877731,1.55544883467123
